iter	RMSE
0	16.92044243
1	16.45735922
2	16.03671889
3	15.62300796
4	15.20815716
5	14.87443761
6	14.49582485
7	14.11816967
8	13.75449201
9	13.42347007
10	13.13363643
11	12.82988803
12	12.52489027
13	12.23473224
14	11.97518485
15	11.69351149
16	11.41892027
17	11.1743714
18	10.95115387
19	10.72397586
20	10.50617448
21	10.30061399
22	10.12866963
23	9.919184796
24	9.723514886
25	9.558058208
26	9.391832124
27	9.231759818
28	9.093005796
29	8.958264032
30	8.8245659
31	8.692170763
32	8.536693484
33	8.396601127
34	8.243922639
35	8.135872339
36	8.017555258
37	7.909559149
38	7.794870076
39	7.67806914
40	7.577157457
41	7.461423711
42	7.359085309
43	7.268801644
44	7.17340605
45	7.083078323
46	6.97955535
47	6.903243113
48	6.825230843
49	6.754123092
50	6.670125153
51	6.606484401
52	6.538994941
53	6.463160658
54	6.393439016
55	6.316754958
56	6.265904239
57	6.209373048
58	6.163552335
59	6.116779304
60	6.071645986
61	6.027521016
62	5.980310353
63	5.91938747
64	5.869653147
65	5.830144423
66	5.800225516
67	5.758563207
68	5.718396595
69	5.667148684
70	5.644015061
71	5.604319752
72	5.572427644
73	5.531324346
74	5.492355772
75	5.446781636
76	5.405085278
77	5.366614674
78	5.337053305
79	5.301962
80	5.260422929
81	5.227459346
82	5.20161035
83	5.176872982
84	5.145395438
85	5.10603595
86	5.084755488
87	5.055434732
88	5.029675279
89	5.000708522
90	4.969367138
91	4.94668153
92	4.925509337
93	4.900932214
94	4.8808666
95	4.855281497
96	4.835427112
97	4.816411717
98	4.789041883
99	4.766833143
100	4.751762332
101	4.731265599
102	4.706780057
103	4.690715204
104	4.674291329
105	4.647833737
106	4.631076914
107	4.609073393
108	4.590409681
109	4.567010751
110	4.550831715
111	4.535257913
112	4.519142213
113	4.498009916
114	4.477432267
115	4.461612357
116	4.445354365
117	4.429129496
118	4.408318968
119	4.392207698
120	4.376645186
121	4.360649227
122	4.345101417
123	4.326529042
124	4.311337981
125	4.298496565
126	4.285430159
127	4.271907983
128	4.260978361
129	4.25348125
130	4.244016178
131	4.235411199
132	4.223144924
133	4.210093611
134	4.189847014
135	4.182582161
136	4.163400337
137	4.156045681
138	4.148345367
139	4.136912679
140	4.12205643
141	4.109920164
142	4.096792832
143	4.094252239
144	4.081903413
145	4.076980665
146	4.064243103
147	4.055745109
148	4.047239859
149	4.034915663
150	4.027374509
151	4.02530305
152	4.008772361
153	4.006713936
154	3.996375129
155	3.990180365
156	3.987462121
157	3.972820986
158	3.967766578
159	3.953118751
160	3.942411278
161	3.923396054
162	3.911429156
163	3.898362653
164	3.892765946
165	3.887722047
166	3.87857351
167	3.877530674
168	3.876149092
169	3.858831885
170	3.854761192
171	3.851052584
172	3.842685728
173	3.839637646
174	3.830730069
175	3.812689364
176	3.802304915
177	3.80068941
178	3.782805072
179	3.76989507
180	3.761417652
181	3.747867578
182	3.746154155
183	3.744691382
184	3.739098088
185	3.729141353
186	3.726276344
187	3.715861891
188	3.699425748
189	3.693716198
190	3.692263918
191	3.682308327
192	3.668808915
193	3.655040008
194	3.64664819
195	3.642397654
196	3.639301195
197	3.636278954
198	3.63201544
199	3.621875963
200	3.6205832
201	3.609211122
202	3.607318651
203	3.590942726
204	3.589328238
205	3.576054216
206	3.574735391
207	3.573638059
208	3.56172151
209	3.552013086
210	3.550560274
211	3.542537784
212	3.52600417
213	3.524587768
214	3.513108506
215	3.497977323
216	3.483880291
217	3.476843775
218	3.475640428
219	3.461871833
220	3.446529787
221	3.432546506
222	3.424249172
223	3.420481791
224	3.413038013
225	3.402339124
226	3.389396578
227	3.388137673
228	3.386933141
229	3.377550838
230	3.376382009
231	3.3694218
232	3.355709576
233	3.348061895
234	3.342104462
235	3.331935303
236	3.330938935
237	3.316749664
238	3.303993594
239	3.294877961
240	3.290841973
241	3.283105982
242	3.282024254
243	3.267675348
244	3.256885736
245	3.251289227
246	3.241058145
247	3.233359429
248	3.232355399
249	3.231384543
250	3.221698661
251	3.20956035
252	3.208629169
253	3.202438431
254	3.198232486
255	3.184671996
256	3.176632404
